src,dst,split,class
data\cleaned\Pepper__bell___Bacterial_spot\ef82ea58-8cfe-4e8f-a935-2b4e143618b1___JR_B.Spot 9079.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ef82ea58-8cfe-4e8f-a935-2b4e143618b1___JR_B.Spot 9079.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ea460c0a-532e-492b-93fa-5b9b936c7506___NREC_B.Spot 1810.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ea460c0a-532e-492b-93fa-5b9b936c7506___NREC_B.Spot 1810.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e67a8a4a-e383-4eee-95e8-22443071ed6d___JR_B.Spot 9057.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e67a8a4a-e383-4eee-95e8-22443071ed6d___JR_B.Spot 9057.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b76271aa-ca0b-44ac-a6f9-379ef70ef443___JR_B.Spot 3389.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b76271aa-ca0b-44ac-a6f9-379ef70ef443___JR_B.Spot 3389.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ecb3abf1-f826-4c7a-9ee6-e4f112a6cb9f___JR_B.Spot 3154.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ecb3abf1-f826-4c7a-9ee6-e4f112a6cb9f___JR_B.Spot 3154.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b766708d-5d33-4034-afc8-fbf9ffece733___JR_B.Spot 9037.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b766708d-5d33-4034-afc8-fbf9ffece733___JR_B.Spot 9037.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b810580c-a559-4c50-8378-0ec894de8a36___NREC_B.Spot 1838.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b810580c-a559-4c50-8378-0ec894de8a36___NREC_B.Spot 1838.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eabaa1bb-a866-4670-887e-3d9897c31fae___JR_B.Spot 3274.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eabaa1bb-a866-4670-887e-3d9897c31fae___JR_B.Spot 3274.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eb07f29d-097e-42b3-8aaf-b9bd635eec1c___JR_B.Spot 3303.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eb07f29d-097e-42b3-8aaf-b9bd635eec1c___JR_B.Spot 3303.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e87de1b1-6022-49ce-b073-c1c43776328c___JR_B.Spot 8944.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e87de1b1-6022-49ce-b073-c1c43776328c___JR_B.Spot 8944.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eaef6117-c055-401a-8851-cec16787b5d8___JR_B.Spot 3278.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eaef6117-c055-401a-8851-cec16787b5d8___JR_B.Spot 3278.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e6a69573-7581-4904-91f1-461aa3ad8038___JR_B.Spot 3349.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e6a69573-7581-4904-91f1-461aa3ad8038___JR_B.Spot 3349.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b338fbbd-ec79-4807-be12-a5c678d1f78d___JR_B.Spot 8881.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b338fbbd-ec79-4807-be12-a5c678d1f78d___JR_B.Spot 8881.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ec600995-4f8f-4f07-b312-d7a74bbd950c___JR_B.Spot 3101.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ec600995-4f8f-4f07-b312-d7a74bbd950c___JR_B.Spot 3101.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b21d5a06-eab3-47a9-86d1-70295f8f8848___NREC_B.Spot 1940.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b21d5a06-eab3-47a9-86d1-70295f8f8848___NREC_B.Spot 1940.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b69df6fa-dc49-41e4-9efa-ee313efeb190___JR_B.Spot 3297.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b69df6fa-dc49-41e4-9efa-ee313efeb190___JR_B.Spot 3297.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bcbca73b-22a6-40e4-ba78-8bfe313665ff___JR_B.Spot 8894.JPG,data\processed\train\Pepper__bell___Bacterial_spot\bcbca73b-22a6-40e4-ba78-8bfe313665ff___JR_B.Spot 8894.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b84f038e-0823-4ed9-a96e-47bb8e628dd0___JR_B.Spot 3309.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b84f038e-0823-4ed9-a96e-47bb8e628dd0___JR_B.Spot 3309.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e7ec8fef-daec-4f8f-93b1-67d40ec68cae___JR_B.Spot 8850.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e7ec8fef-daec-4f8f-93b1-67d40ec68cae___JR_B.Spot 8850.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b928cffb-f480-44a8-9b09-70ef158fdc7c___JR_B.Spot 3155.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b928cffb-f480-44a8-9b09-70ef158fdc7c___JR_B.Spot 3155.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b3085525-974e-4d75-99a4-7d18e06e13f6___JR_B.Spot 3317.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b3085525-974e-4d75-99a4-7d18e06e13f6___JR_B.Spot 3317.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b32ea1b7-7bf8-451e-b47c-c0cf37bba3d5___NREC_B.Spot 1913.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b32ea1b7-7bf8-451e-b47c-c0cf37bba3d5___NREC_B.Spot 1913.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e8e03ae2-a11f-4af1-879b-66d71af9ba13___NREC_B.Spot 1857.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e8e03ae2-a11f-4af1-879b-66d71af9ba13___NREC_B.Spot 1857.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eeb59903-65af-4d9f-9ab9-ec6725aa3a39___JR_B.Spot 3359.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eeb59903-65af-4d9f-9ab9-ec6725aa3a39___JR_B.Spot 3359.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b34f18ca-799f-42bb-abbb-f1e19aa6521f___NREC_B.Spot 1944.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b34f18ca-799f-42bb-abbb-f1e19aa6521f___NREC_B.Spot 1944.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\edddf54c-92cf-4094-b4bb-85e053d7622b___NREC_B.Spot 9215.JPG,data\processed\train\Pepper__bell___Bacterial_spot\edddf54c-92cf-4094-b4bb-85e053d7622b___NREC_B.Spot 9215.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b82e0746-97b5-4be9-90a7-ac2b2121428c___JR_B.Spot 9073.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b82e0746-97b5-4be9-90a7-ac2b2121428c___JR_B.Spot 9073.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ecb08896-f188-47f5-88c4-81a32a103fb0___NREC_B.Spot 9135.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ecb08896-f188-47f5-88c4-81a32a103fb0___NREC_B.Spot 9135.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ead27319-4073-490e-80a0-08e916bbc1f2___JR_B.Spot 9084.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ead27319-4073-490e-80a0-08e916bbc1f2___JR_B.Spot 9084.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b36819f5-6791-44da-96ac-b89069921af6___JR_B.Spot 3130.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b36819f5-6791-44da-96ac-b89069921af6___JR_B.Spot 3130.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e8fc71b3-6ab8-4ca7-93c8-89fdc03ec004___JR_B.Spot 8990.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e8fc71b3-6ab8-4ca7-93c8-89fdc03ec004___JR_B.Spot 8990.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b143a281-5395-4a2a-8308-f6b23a476505___JR_B.Spot 8854.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b143a281-5395-4a2a-8308-f6b23a476505___JR_B.Spot 8854.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e91bd240-ee50-4ec3-aeff-a8e760a94fbe___NREC_B.Spot 1809.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e91bd240-ee50-4ec3-aeff-a8e760a94fbe___NREC_B.Spot 1809.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eecaf451-abc4-4079-b612-f6a15d95ca6e___JR_B.Spot 3398.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eecaf451-abc4-4079-b612-f6a15d95ca6e___JR_B.Spot 3398.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bc76d04a-056a-4fa4-a3de-2d848101631a___JR_B.Spot 9089.JPG,data\processed\train\Pepper__bell___Bacterial_spot\bc76d04a-056a-4fa4-a3de-2d848101631a___JR_B.Spot 9089.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ef02f719-ca79-481f-9429-365fa1685a80___JR_B.Spot 9056.JPG,data\processed\val\Pepper__bell___Bacterial_spot\ef02f719-ca79-481f-9429-365fa1685a80___JR_B.Spot 9056.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\efeb1a44-bc48-4099-924b-ebc42827801e___JR_B.Spot 3387.JPG,data\processed\val\Pepper__bell___Bacterial_spot\efeb1a44-bc48-4099-924b-ebc42827801e___JR_B.Spot 3387.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ba89789a-d506-48d5-964b-41f5815d46b1___JR_B.Spot 3352.JPG,data\processed\val\Pepper__bell___Bacterial_spot\ba89789a-d506-48d5-964b-41f5815d46b1___JR_B.Spot 3352.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bbda7917-5169-48e8-b041-9ee38aabb29d___JR_B.Spot 3211.JPG,data\processed\val\Pepper__bell___Bacterial_spot\bbda7917-5169-48e8-b041-9ee38aabb29d___JR_B.Spot 3211.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e825c445-4b5b-4642-8d83-6db23c5d8348___JR_B.Spot 3341.JPG,data\processed\val\Pepper__bell___Bacterial_spot\e825c445-4b5b-4642-8d83-6db23c5d8348___JR_B.Spot 3341.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e71b39c4-8007-46c0-a925-adaf30e71fd1___JR_B.Spot 9054.JPG,data\processed\val\Pepper__bell___Bacterial_spot\e71b39c4-8007-46c0-a925-adaf30e71fd1___JR_B.Spot 9054.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e82b5cb6-796c-45cb-a2a7-89bf723ecb8a___NREC_B.Spot 1854.JPG,data\processed\val\Pepper__bell___Bacterial_spot\e82b5cb6-796c-45cb-a2a7-89bf723ecb8a___NREC_B.Spot 1854.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b98b517c-c70a-4299-ba3d-857cd61ec4bf___JR_B.Spot 9047.JPG,data\processed\val\Pepper__bell___Bacterial_spot\b98b517c-c70a-4299-ba3d-857cd61ec4bf___JR_B.Spot 9047.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ee7addf1-7941-463f-899e-3c38cafea9df___JR_B.Spot 9002.JPG,data\processed\val\Pepper__bell___Bacterial_spot\ee7addf1-7941-463f-899e-3c38cafea9df___JR_B.Spot 9002.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ebbd2311-713d-4179-a64f-7a862b710749___JR_B.Spot 8913.JPG,data\processed\val\Pepper__bell___Bacterial_spot\ebbd2311-713d-4179-a64f-7a862b710749___JR_B.Spot 8913.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\baaf70ae-a980-4cf0-a012-de1c2a35a2bd___JR_B.Spot 8822.JPG,data\processed\val\Pepper__bell___Bacterial_spot\baaf70ae-a980-4cf0-a012-de1c2a35a2bd___JR_B.Spot 8822.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ba9e7d81-876f-4c05-9578-ddd45d8b3526___JR_B.Spot 3330.JPG,data\processed\val\Pepper__bell___Bacterial_spot\ba9e7d81-876f-4c05-9578-ddd45d8b3526___JR_B.Spot 3330.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ee596e36-e147-429a-bcf7-de47de0470c0___JR_B.Spot 3104.JPG,data\processed\val\Pepper__bell___Bacterial_spot\ee596e36-e147-429a-bcf7-de47de0470c0___JR_B.Spot 3104.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\efce3447-357f-458f-b348-383a3576d33b___JR_B.Spot 8900.JPG,data\processed\val\Pepper__bell___Bacterial_spot\efce3447-357f-458f-b348-383a3576d33b___JR_B.Spot 8900.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b27e9697-adcc-41bb-becb-7bc34bbf3cee___JR_B.Spot 3264.JPG,data\processed\val\Pepper__bell___Bacterial_spot\b27e9697-adcc-41bb-becb-7bc34bbf3cee___JR_B.Spot 3264.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e973e4ca-1670-4fa7-9206-49046080d897___NREC_B.Spot 1831.JPG,data\processed\val\Pepper__bell___Bacterial_spot\e973e4ca-1670-4fa7-9206-49046080d897___NREC_B.Spot 1831.JPG,val,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b45fccde-f383-4741-a19a-fb48dc215190___JR_B.Spot 3098.JPG,data\processed\test\Pepper__bell___Bacterial_spot\b45fccde-f383-4741-a19a-fb48dc215190___JR_B.Spot 3098.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ecd00ad4-7c95-4254-8bc4-5d90e67fc550___NREC_B.Spot 1951.JPG,data\processed\test\Pepper__bell___Bacterial_spot\ecd00ad4-7c95-4254-8bc4-5d90e67fc550___NREC_B.Spot 1951.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b565ed4a-0fd4-4776-a998-363132307e11___NREC_B.Spot 1926.JPG,data\processed\test\Pepper__bell___Bacterial_spot\b565ed4a-0fd4-4776-a998-363132307e11___NREC_B.Spot 1926.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b748edc9-357c-4fa6-8e71-03c03845d3d5___JR_B.Spot 3188.JPG,data\processed\test\Pepper__bell___Bacterial_spot\b748edc9-357c-4fa6-8e71-03c03845d3d5___JR_B.Spot 3188.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\baa2dfb9-ff6a-4f84-9036-243000982301___NREC_B.Spot 1880.JPG,data\processed\test\Pepper__bell___Bacterial_spot\baa2dfb9-ff6a-4f84-9036-243000982301___NREC_B.Spot 1880.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\baf87bb4-cf33-432d-ae8c-6ee3bd6dacce___JR_B.Spot 8988.JPG,data\processed\test\Pepper__bell___Bacterial_spot\baf87bb4-cf33-432d-ae8c-6ee3bd6dacce___JR_B.Spot 8988.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bc2a7448-1dbb-4bb0-8d26-d012530c7daf___JR_B.Spot 3231.JPG,data\processed\test\Pepper__bell___Bacterial_spot\bc2a7448-1dbb-4bb0-8d26-d012530c7daf___JR_B.Spot 3231.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b22693c9-a87d-4ffa-82b1-0218e1b966be___JR_B.Spot 3277.JPG,data\processed\test\Pepper__bell___Bacterial_spot\b22693c9-a87d-4ffa-82b1-0218e1b966be___JR_B.Spot 3277.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b65e91d6-4f22-4d3b-b82f-9590160b7746___JR_B.Spot 8919.JPG,data\processed\test\Pepper__bell___Bacterial_spot\b65e91d6-4f22-4d3b-b82f-9590160b7746___JR_B.Spot 8919.JPG,test,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___healthy\efdafba8-8b81-462a-83d6-7b064ed28a4d___JR_HL 8228.JPG,data\processed\train\Pepper__bell___healthy\efdafba8-8b81-462a-83d6-7b064ed28a4d___JR_HL 8228.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\faac0cc4-4c25-4962-9a6d-6203a1b02af3___JR_HL 8415.JPG,data\processed\train\Pepper__bell___healthy\faac0cc4-4c25-4962-9a6d-6203a1b02af3___JR_HL 8415.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\eeb27ba2-a71d-4111-84e1-f46e4fe0ddd7___JR_HL 8755.JPG,data\processed\train\Pepper__bell___healthy\eeb27ba2-a71d-4111-84e1-f46e4fe0ddd7___JR_HL 8755.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\f4c9f089-0129-4aee-968a-d3348b5a2145___JR_HL 7647.JPG,data\processed\train\Pepper__bell___healthy\f4c9f089-0129-4aee-968a-d3348b5a2145___JR_HL 7647.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\fa21e46a-f995-469d-9dc9-c6908c9a32c8___JR_HL 8375.JPG,data\processed\train\Pepper__bell___healthy\fa21e46a-f995-469d-9dc9-c6908c9a32c8___JR_HL 8375.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\f34f9754-9f8f-4f0e-952a-1fedcb96a727___JR_HL 7594.JPG,data\processed\train\Pepper__bell___healthy\f34f9754-9f8f-4f0e-952a-1fedcb96a727___JR_HL 7594.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\b6aa418a-5f53-410a-9621-6c752fbb5317___JR_HL 7787.JPG,data\processed\train\Pepper__bell___healthy\b6aa418a-5f53-410a-9621-6c752fbb5317___JR_HL 7787.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\b10e6123-8ec8-4684-aef5-90a20198c3a6___JR_HL 8604.JPG,data\processed\train\Pepper__bell___healthy\b10e6123-8ec8-4684-aef5-90a20198c3a6___JR_HL 8604.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\f61b245c-cfa1-4505-b91b-c318de0c42a7___JR_HL 8625.JPG,data\processed\train\Pepper__bell___healthy\f61b245c-cfa1-4505-b91b-c318de0c42a7___JR_HL 8625.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\f24f1078-123e-4c89-bba8-2e1f7cf264bb___JR_HL 8196.JPG,data\processed\train\Pepper__bell___healthy\f24f1078-123e-4c89-bba8-2e1f7cf264bb___JR_HL 8196.JPG,train,Pepper__bell___healthy
data\cleaned\Pepper__bell___healthy\f2a76242-f4e8-416a-9080-7eb1064ca6c4___JR_HL 5838.JPG,data\processed\train\Pepper__bell___healthy\f2a76242-f4e8-416a-9080-7eb1064ca6c4___JR_HL 5838.JPG,train,Pepper__bell___healthy
